Sphinx 2.2.10-id64-release (2c212e0)
Copyright (c) 2001-2015, Andrew Aksyonoff
Copyright (c) 2008-2015, Sphinx Technologies Inc (http://sphinxsearch.com)

using config file '/data/server/gaojian/sphinx/sphinx.conf'...
dumping dictionary for index 'talent_index'...
keyword,docs,hits,offset
#é,2,2,197634651
&é,2,2,199712280
&ê,1,1,32664856
+φ,1,2,189788059
0,237722,16291305,359878543
1,237811,8367501,188835119
2,237761,7202896,37459187
3,237446,2828516,158274248
4,237112,2541052,355870648
5,237495,2504533,190338342
6,236875,2140975,44182145
7,235479,1690078,152354695
8,236447,2109055,369374486
9,237505,3760993,201623268
a,214152,6059118,333081052
b,124402,1268046,163852282
c,234549,3840555,10276031
d,237311,2882007,222809402
e,209563,7801690,347234401
f,98118,1190144,171371549
g,120748,1925707,2292519
h,137047,1790204,210081127
i,237674,6397919,329927269
j,234860,995728,181538591
k,84343,523067,14258926
l,202534,3154630,218567416
m,235021,3074157,323991220
n,151288,5735160,174466922
o,235223,5496143,25414050
p,149392,3039770,185607243
q,143652,489910,360864806
r,236579,4760448,155099645
s,152809,4953036,38436400
t,153483,5436909,192950180
u,125216,1964888,354072800
v,113914,1052880,153532456
w,114666,1050282,41446051
x,101125,487004,200659747
y,98027,937181,373334706
z,53420,169610,142174082
ßà,1,1,194461022
à,36,53,174264926
á,6,9,1295724
â,1,1,224419322
âãä,1,1,233968477
ã,1,2,345529225
ä,1,1,161174959
äå,1,1,320919039
æ,1,2,230305538
æçè,1,1,128528634
ç,1,2,337442537
è,29,37,175301671
é,233,671,23414396
éé,3,3,320093074
éê,1,1,97049199
ê,10,13,219842188
êí,1,1,317175183
ë,1,1,323259102
ëì,1,1,253882715
ì,5,21,179882564
í,7,10,16466770
îé,1,1,316826578
îï,1,2,69291513
ï,1,1,331987033
ð,1,1,151847289
ðñ,1,1,319787364
ñ,2,3,43522722
ñòò,1,1,156070283
ò,5,6,190289504
ó,25,28,355860574
óô,1,1,253681571
ôõ,1,1,319787331
ö,2,2,186994763
ø,1,4,145759193
ù,2,3,29470259
ùü,1,1,251820396
ú,4,4,197637868
úû,1,1,69309685
ûß,1,1,22185939
ü,85,221,142884236
üδ,1,1,27266404
ý,1,2,32504793
ýþ,1,1,93964277
þÿñ,1,1,180735560
ā,16,16,170491019
ē,2,3,196268250
ę,1,1,148266013
ń,1,1,43522738
ň,15,27,30938020
ū,3,3,262442613
α,89,129,242613866
αβ,1,1,4163234
αψ,2,4,319787347
β,59,97,69338757
γ,19,25,98686514
δ,39,69,315537245
ε,3,3,253916678
εκ,1,1,19255965
ζ,4,4,78266731
η,4,5,90462097
ηπ,1,1,312944843
ηπ+π,1,1,32664864
θ,8,16,306845128
ι,6,10,239030773
ιο,1,1,166668569
κ,13,15,87901416
λ,8,8,102170583
μ,97,195,313185256
μομλ,1,5,13535134
ν,6,7,233251742
ξ,8,8,80919522
ο,3,4,111658592
π,29,38,323258928
ρ,1,2,219842177
σ,74,134,175301852
τ,5,19,331987041
υ,14,15,208166446
φ,44,98,16466523
χ,4,4,179882537
ψ,6,8,345529243
ω,23,28,224419330
ωηπ,1,1,37459179
ωηπ+π,1,1,96194385
ωω,1,1,81041192
а,7,9,20016551
активно,1,1,323663525
алгоритмические,1,1,331509087
андрогеро,3,3,220222078
б,5,9,176956410
банка,1,1,225099391
банков,1,1,340793293
бгэу,1,1,83682792
безопасноть,1,1,235700019
биллингом,1,1,89370447
бумаг,1,1,148266021
был,1,1,46950385
в,21,26,329708039
внешней,1,1,176021871
г,10,10,212064407
государственный,1,2,262404735
грамота,1,1,233932283
группах,1,1,194577594
д,5,7,22186050
данных,1,1,32504803
дело,1,1,88996284
деятельность,1,2,366681505
для,1,1,108473066
документы,1,1,241183070
доминанта,1,1,176174319
е,1,5,176694266
жуйдэмен,3,3,372684659
з,2,3,218567091
за,1,1,203379712
занятия,1,2,328428429
и,9,19,7711629
имею,1,1,280467050
инженерия,1,1,352511703
иностраному,1,1,378277144
информатики,1,2,94655260
й,3,4,166132452
к,1,1,339828029
как,1,1,254253472
клиентами,1,1,208036969
коммерческих,1,1,233923606
компания,1,1,163852022
компьютерной,1,1,103022159
контракты,1,1,227019429
корпусе,1,1,311329057
л,3,7,226821763
литература,1,1,90461522
лучшему,1,1,29453459
лэйдэ,3,3,261687725
ляонин,1,1,12785027
ляонинский,1,1,206409385
м,3,7,2836381
медицина,1,1,22184907
методов,1,1,24449661
н,41,60,170561215
на,1,4,184284286
написание,1,1,202703848
наука,1,1,242012855
нотариальное,1,1,253681587
о,1,1,340794524
обработки,1,1,144197654
ооо,2,3,103061495
оплаты,1,1,129601054
опыт,1,1,176548681
организовывал,1,1,289179215
орч,1,1,221461010
ответсвеным,1,1,299467791
отдел,1,1,52600327
официальные,1,1,326475649
п,2,2,225099377
педагогический,1,1,39243289
перевода,1,1,378679865
письма,1,1,253638851
письменному,1,1,33582571
по,1,4,145919462
поддержание,1,1,74243625
поиск,1,1,269698020
предметам,1,1,365354992
преподаватель,1,1,27311540
прикрепление,1,1,146831455
провинции,1,1,154010574
проводил,1,1,345529236
провожу,1,1,227547770
программ,1,1,233254109
программирования,1,1,51604707
продвижение,1,1,328411393
промкомплекс,2,2,50422347
промышленность,1,1,198914458
робочем,1,1,29453466
русским,1,1,233922600
русского,1,3,183444474
русскому,1,2,77801650
рынке,1,2,130712487
рынок,1,1,301695320
с,4,6,92529436
сайта,1,1,86102178
самарский,1,1,241202528
связь,1,1,327194023
сельское,1,1,114607559
сетевая,1,1,32672070
сети,1,1,166509753
сеть,1,1,106623832
совместительству,1,1,118058377
состоянии,1,1,323478756
специалисту,1,1,148820152
станций,1,1,30938013
строительство,1,1,262372436
сферах,1,1,176694259
т,20,27,317398412
телеком,1,1,128528642
телекоммуникационных,1,1,125371646
техника,1,1,33753037
технология,1,1,199140614
тольятти,1,1,99680331
тольяттинский,1,1,51849676
торговли,1,1,354059531
у,33,39,251822832
уголки,1,1,311408473
университет,1,3,19928477
управление,1,1,166491347
управляющая,1,1,297199243
устному,1,1,184177937
участвую,1,1,343855565
ф,37,43,71209299
факультет,1,2,1305604
фемодея,3,3,198649122
фильмам,1,1,97639952
финансовая,1,1,27311547
финансовом,1,2,273875153
фокус,1,2,60852345
форекс,1,1,282146792
х,4,4,93964252
хозяйство,1,1,129601061
холдинга,1,1,176956448
ц,97,699,320696600
ценных,1,1,262404745
центрального,1,1,309583037
ч,4,5,246498780
ш,15,20,82429983
щ,5,5,108915217
ъ,8,11,311329065
ы,2,2,234808184
ь,6,7,86102139
э,1,1,105614280
эрлайн,1,1,57658394
языка,1,3,259808798
языки,1,1,273255427
языку,1,2,30938004
яндекс,1,1,105611014
آ,1,2,69291503
أ,1,1,102170556
إ,1,1,253681579
ا,1,29,89726051
اذإ,1,1,94385580
او,1,2,251820342
ة,1,4,241151122
ةد,1,1,39389609
ةر,1,1,325914179
ةراد,1,2,185396572
ةرازو,1,1,45890891
ت,1,1,86668646
تار,1,1,279324920
د,1,2,110270200
ر,1,3,260317760
را,1,1,12785129
ز,1,1,63612638
ص,1,1,259810187
ــ,1,1,52680568
ل,1,5,373760245
م,1,2,201100420
ن,1,1,32725880
نأ,1,2,224332190
نذ,1,3,43519968
نذإ,1,2,166568093
نو,1,1,63115668
ه,1,2,142422339
و,1,1,354059523
وأ,1,3,212126779
ود,1,1,225026401
يأ,1,1,208166536
⺫,3,82,17845536
⺴,2,26,196041726
⻓,2,4,82690991
⻚,3,27,91309118
⼀,4,21,351771203
⼆,2,7,35776233
⼈,3,40,377293337
⼊,2,7,27258777
⼒,4,22,4163212
⼗,2,2,166509760
⼜,1,2,329579979
⼝,3,7,215256097
⼠,4,8,299441134
⼤,4,17,301707611
⼦,3,7,50534264
⼩,2,2,258907357
⼯,4,71,130576929
⼼,4,15,322891884
⼿,1,5,98361048
⽀,1,2,338676336
⽂,3,3,14172294
⽅,4,28,224332167
⽇,1,1,173215589
⽉,2,22,208044670
⽔,1,1,355802311
⽚,1,1,31329774
⽣,4,8,106623808
⽤,4,79,312821276
⽬,1,26,318166996
⽰,1,1,305300764
⽴,4,8,293038424
⽹,1,17,263167502
⾃,2,2,130784914
⾄,4,8,289417789
⾏,4,23,118142472
⾔,2,2,315312276
⾜,3,7,313777627
⾥,1,2,197281060
⾦,2,2,27311555
⾮,1,1,45192622
⾯,4,13,149688688
⾳,1,1,177722424
⾸,2,10,339407128
⾼,4,15,343870425
⿁,1,1,251690259
ぁ,6,7,341461146
あ,144,326,170665500
ぃ,6,8,3690931
い,206,1039,226933628
ぅ,3,3,340773880
う,109,206,166490037
ぇ,1,1,8675681
え,67,111,216333434
お,139,412,176455222
か,159,433,20987545
が,166,540,212063561
き,149,415,329707284
ぎ,2,2,176956395
く,130,272,20015866
ぐ,19,24,194577475
け,146,305,352510942
げ,39,58,149570624
こ,131,434,46433994
ご,22,32,184304439
さ,80,168,363213638
ざ,5,7,159550908
し,244,2315,34887506
じ,41,47,196961192
す,209,1599,378934946
ず,55,67,147277215
せ,73,101,27662412
ぜ,1,6,206412778
そ,90,195,367509411
ぞ,3,3,140201977
た,202,1233,33582697
だ,45,85,233016188
ち,52,62,314225412
ぢ,1,1,110776033
っ,146,462,81439125
つ,93,186,241202535
づ,29,38,306742197
て,229,1382,104931765
で,222,1473,87400602
と,287,1797,253680194
ど,165,407,316825724
な,255,1081,89724796
に,232,1629,80243116
ぬ,3,3,242866001
ね,3,3,320982084
の,365,4628,99600838
は,161,593,67105758
ば,36,48,274288452
ぱ,2,2,297174847
ひ,8,12,118265924
び,125,386,51310107
ぴ,2,2,269370664
ふ,17,23,302041081
ぶ,7,9,119272175
ぷ,32,46,50791613
へ,49,86,259917728
べ,24,28,287927905
ぺ,3,6,135487954
ほ,30,34,60902049
ぼ,3,3,261278037
ぽ,3,3,286972585
ま,186,1443,129330492
み,51,66,64775550
む,27,34,257084820
め,123,247,293034599
も,117,306,137678865
ゃ,10,10,60852283
や,112,314,263233342
ゅ,1,1,281001835
ゆ,11,15,128235418
ょ,6,6,65662783
よ,154,295,277646672
ら,137,435,294079511
り,175,687,113136443
る,245,1497,56557407
れ,114,219,267050084
ろ,28,54,302852303
わ,56,77,46950059
ゐ,1,1,251823007
を,237,2145,92529463
ん,71,141,73053323
゛,2,8,82429968
゜,1,1,236869730
ゝ,1,1,310599595
ァ,39,47,374292642
ア,265,783,146832405
ィ,139,446,28014914
イ,255,654,201099120
ゥ,1,1,373760239
ウ,133,365,142421660
ェ,178,1200,32725016
エ,129,212,192939805
ォ,54,95,354059538
オ,124,211,153530984
カ,122,248,41442388
ガ,29,43,186489490
キ,91,171,361776810
ギ,15,30,156069560
ク,272,1257,39095034
グ,201,968,219795533
ケ,131,235,325744207
ゲ,18,30,175240820
コ,265,833,27110317
ゴ,12,18,210070022
サ,211,749,329866957
ザ,49,89,181538221
シ,367,2201,14257156
ジ,258,1359,223770366
ス,487,3936,348146643
ズ,68,230,171790200
セ,128,230,2815245
ゼ,9,10,232007073
ソ,183,690,333043751
ゾ,2,2,163852044
タ,261,777,9957714
ダ,139,372,245649941
チ,153,363,322175900
ヂ,3,6,102170564
ッ,234,533,69291523
ツ,85,445,253681594
テ,362,3155,89726061
デ,175,735,80244246
ト,390,3418,241149241
ド,122,290,306586077
ナ,86,129,103884096
ニ,184,409,86667697
ヌ,4,4,232366417
ネ,138,360,313840761
ノ,43,60,110269958
ハ,44,86,81038205
バ,139,461,260317048
パ,92,148,286759003
ヒ,5,7,128683132
ビ,134,275,63611927
ピ,87,111,259809742
フ,258,1094,287354455
ブ,102,224,133909169
プ,273,1484,60854699
ヘ,7,10,269370678
ベ,92,247,302041182
ペ,42,71,119272218
ホ,44,62,50791805
ボ,34,47,276602160
ポ,87,190,298215461
マ,148,470,119205869
ミ,102,231,51887625
ム,348,2450,212064471
メ,159,492,329708160
モ,55,136,176956456
ャ,84,173,20016598
ヤ,58,135,218567106
ュ,219,449,327150030
ユ,44,108,176694276
ョ,129,216,22186083
ヨ,19,27,226821647
ラ,230,646,339826865
リ,228,687,166131319
ル,307,1184,7710123
レ,202,517,225098343
ロ,254,1355,340793301
ヮ,1,1,170561208
ワ,74,163,2835976
ヰ,1,1,205599862
ヲ,1,1,139445008
ン,421,2206,33119690
ヴ,3,3,196820647
ヵ,2,17,378585695
ヶ,25,36,146934097
・,2823,11477,35055714
ー,295,4595,194577601
ヽ,1,1,352511711
ヾ,1,1,149570859
ㄅ,4,4,219838598
ㄆ,1,1,27190317
ㄈ,2,2,333043738
ㄉ,10,11,232007006
ㄋ,2,2,163852030
ㄌ,1,1,345529518
ㄍ,2,2,221460995
ㄎ,2,2,1305589
ㄏ,6,7,171177696
ㄐ,5,5,372676865
ㄑ,1,1,199162490
ㄒ,6,9,32506704
ㄓ,4,12,140431102
ㄔ,7,9,374292592
ㄕ,1,1,199140608
ㄖ,4,4,28014887
ㄗ,4,4,146832377
ㄘ,2,2,363025788
ㄙ,1,1,186849962
ㄛ,2,2,156988021
ㄜ,2,9,355114591
ㄞ,3,4,42049592
ㄟ,3,3,154827716
ㄠ,5,7,320922600
ㄡ,1,1,247028832
ㄢ,1,1,72559566
ㄣ,5,5,94665398
ㄤ,15,25,317838368
ㄥ,33,84,252723488
ㄦ,98,309,74243632
ㄧ,31,37,93562016
ㄨ,12,21,309143968
ㄩ,10,20,235697058
一,204347,1060239,207189616
丁,3732,6312,331030189
七,11654,16200,16009985
万,56464,195076,24067413
丈,136,169,231144902
三,101209,236621,337636566
上,209314,1029176,162930753
下,139700,393167,13560027
丌,6,15,224419129
不,142212,337237,344894073
与,191126,1118782,173466027
丏,1,3,1295714
丐,35,51,203448470
丑,64,82,372192735
专,190175,601884,31680111
且,40021,63480,197798348
丕,29,31,377109636
世,31102,54766,145767564
丘,1613,2101,187001101
丙,623,1210,356948227
业,228984,2976883,157113888
丛,519,682,35977774
东,84533,185326,189788283
丝,5830,9674,355136560
丞,80,86,151793753
丟,3,3,43486918
両,9,9,319799545
丢,1256,1623,96208566
丣,1,1,70056989
两,49266,78872,250051466
严,26166,34576,318010381
並,54,167,90489851
丧,115,126,74261641
丨,28,144,238500319
个,223326,1481669,106630299
丫,88,208,84538409
中,196450,1145338,311957003
丮,2,2,108510226
丰,54882,82482,262912069
串,3032,5042,127840790
丳,1,1,67105751
临,17249,27531,257392632
丵,1,1,290393354
丶,78,376,138979986
丷,1,1,57720769
丸,346,557,263919275
丹,5783,8595,304224279
为,155448,637752,122110509
主,182105,855670,47794246
丼,1,1,279324898
丽,10385,15110,293053046
举,15184,22161,115796710
丿,9,9,52660963
乂,1,2,147713217
乃,1036,1184,27253260
久,7041,10047,369063013
乇,1,1,33753002
么,85969,92096,196359225
义,21971,37692,350940050
之,66965,121894,45953707
乌,2758,4889,184178298
乍,80,120,366921011
乎,2441,2830,159237506
乏,1618,1795,35782883
乐,81769,147883,215793068
乒,5264,6007,175995678
乓,5362,6075,23344025
乔,1083,1497,215243785
乖,32,66,178151855
乗,6,6,19370996
乘,2470,4697,225003476
乙,4027,9370,343347235
乜,5,5,227018594
九,12066,18473,338698665
乞,25,33,166509588
也,62742,102848,6311376
习,128391,303218,258975532
乡,6021,9333,289184433
乢,2,2,132289366
乣,1,1,62267979
书,126852,408166,129607637
乨,1,1,273875164
乩,3,3,299452391
买,19033,31621,253921942
乱,2044,2561,315537477
乳,1888,3631,78266770
乷,2,2,69336103
乾,1139,1578,103055644
亀,1,1,233923599
了,135532,617265,106043022
予,12658,16359,251699503
争,28512,47481,318203967
亊,1,3,91309381
事,226552,1000969,76375178
二,88290,189978,249451942
亍,5,9,320087131
于,181878,508518,96217832
亏,1680,2214,70086333
云,21274,46569,293112857
互,117394,368542,116844923
亓,20,20,55170650
五,35399,56255,265243597
井,3399,6171,305862944
亘,43,49,257104179
亚,25581,50177,138144421
些,35902,63406,57492169
亞,17,19,126141366
亟,144,158,66324353
亡,528,792,344340130
亢,128,146,172510662
亣,2,2,1247868
交,123508,346148,229169265
亥,62,102,336368500
亦,2399,3020,160187662
产,172288,1176272,12063398
亨,749,1141,220218025
亩,2752,6590,323628360
享,20350,35704,24318327
京,178909,696550,209173910
亭,1208,1707,332106751
亮,6299,8944,179909587
亱,1,1,356832706
亲,17348,21096,153300808
亳,544,674,45131731
亵,5,5,358598380
亷,1,1,37245111
亹,1,1,375079131
人,224887,1960026,143291246
亼,1,1,203379706
亾,2,2,142709891
亿,16339,36207,31255085
什,84832,88358,270211618
仁,3652,5565,300713545
仃,5,6,50215711
仄,2,2,273790054
仅,9520,13161,298626078
仆,91,219,118101065
仇,200,235,52067834
仈,3,3,262433074
仉,14,17,286698606
今,147267,234270,130806013
介,43018,77840,63410418
仍,2336,2720,289405672
从,223892,728984,132308401
仏,3,5,62284114
仑,1280,2150,307583801
仓,21534,47697,88897508
仔,3730,4174,233898891
仕,2501,3780,313824968
他,97077,173881,112428105
仗,188,207,80995280
付,36429,95109,242012894
仙,2793,4792,322332974
仚,1,1,97639959
仛,1,1,69310261
仝,65,72,315322366
仞,2,2,90066432
仟,230,318,77805707
仡,4,8,366685583
代,116634,272571,35072694
令,9867,15544,196041741
以,179604,774450,348149186
仦,1,1,149689610
仨,10,12,204489982
仪,27613,73471,139307805
仫,6,6,34872513
们,25810,52938,197288523
仮,1,1,148315310
仰,775,980,227983594
仲,2115,3700,166658257
仳,1,1,7689002
仵,8,8,343855322
件,155782,989621,169697515
价,216940,365796,4890222
仸,7,7,212126790
仹,6,12,328412826
仺,6,12,177845040
任,167213,681791,17845819
份,145422,266653,327194030
仾,1,1,175978393
仿,4636,9776,22887635
企,199704,895300,187008718
伃,1,1,157113881
伄,2,4,355164359
伅,38,76,189788097
伆,1,1,43486911
伊,3810,6226,32486708
伌,1,1,377109795
伍,7780,11764,197761661
伎,11,26,30101988
伏,1603,5628,145911633
伐,504,644,338087745
休,23302,28301,231031404
众,57114,75349,173225306
优,104910,297516,331047478
伙,12829,20612,207128908
会,184630,730169,15211839
伛,1,6,179043392
伝,30,39,220192160
伞,260,360,24316811
伟,8707,11355,175418850
传,86876,226511,304250164
伢,6,6,47794205
伤,2451,4553,293038448
伥,1,1,279324913
伦,4114,6293,52661016
伪,1330,1899,67098823
伭,1,1,257473166
伯,2664,3890,138966722
估,36675,78773,308969996
伱,1,1,238500481
伲,7,8,84538887
伴,10655,16708,312770909
伶,174,187,83681815
伸,1646,2059,319787372
伺,738,1551,70057113
似,6352,8573,318135562
伽,878,1218,250046713
佃,14,16,168369478
但,19806,26924,6216728
佇,1,1,166509740
佈,10,11,328025079
位,205542,573058,214405331
低,24638,41454,19256126
住,221002,276665,178152126
佐,458,603,351047911
佑,441,557,196356785
体,213487,943231,150912196
佔,5,5,366920977
何,17595,26658,184191298
佗,17,23,159237400
佘,136,188,377276289
余,25625,39237,197082288
佚,15,25,27253172
佛,5290,10257,147713227
作,226498,3847274,368156769
佝,1,1,204434912
佟,130,160,139259570
你,6611,13788,312914133
佢,1,1,80827774
佣,1752,2637,110832312
佤,2,2,307533180
佥,1,1,240781295
佧,1,1,103055636
佩,673,826,253918416
佪,1,1,78266764
佫,1,1,90462128
佬,71,87,322891908
